exp	experiment_desc	decode_tps	c4_tps	c8_tps	correctness	status	notes
0	baseline (seqs=4)	27.4	64.6	N/A	3/3	reverted	original config
1	max_batched_tokens=16384	OOM	-	-	-	reverted	CUDA graph memory too high
2	profiler=0 alone	27.3	58.6	-	3/3	reverted	KV cache doubled, no speed gain
3	max_num_seqs=8	27.2	65.6	84.5	3/3	KEPT	C=8 new capability
4	block_size=128	crash	-	-	-	reverted	flashinfer incompatibility
5	reasoning_effort=low	26.8	60.7	86.4	3/3	reverted	C=4 regressed 7.5%
6	breakable_cudagraph=1	27.1	71.9	83.4	3/3	KEPT	C=4 +10.9%
7	max_num_seqs=12	26.8	69.1	91.9	3/3	reverted	C=12=99.2 but C=4 -3.9%
8	profiler=0+breakable	24.9	60.2	82.9	3/3	reverted	decode -8.1%
9	gpu_mem_util=0.80	OOM	-	-	-	reverted	bdea OOM: 92.9<97.3 GiB
10	num_scheduler_iters=2	ERR	-	-	-	reverted	unrecognized flag
11	batched_tokens=4096	25.0	64.6	83.6	3/3	reverted	decode -7.7%
12	no_prefix_caching	25.2	64.1	84.6	3/3	reverted	decode -7.0%
13	nccl_buffsize/nthreads	crash	-	-	-	reverted	stale GPU proc
14	JUMBO MTU 9000	26.9	73.6	87.3	3/3	KEPT	latency 0.8->0.17ms, C=8 +4.7%
15	fuse_allreduce_rms (inductor)	24.9	74.8	80.9	3/3	reverted	fusion DISABLED for world_size=2
16	nccl_multi_qp (4 QPs)	25.1	65.2	82.8	3/3	reverted	overhead > gain
